Province/State,Country/Region,Last Update,Confirmed,Death,Recovered,Latitude,Longitude
Baden-Württemberg,Germany,2020-03-16T20:52:46,1105,3,,48.5205,9.0551
Bayern,Germany,2020-03-16T20:52:46,1067,5,,48.1351,11.5775
Berlin,Germany,2020-03-16T20:52:46,300,0,,52.5224,13.3986
Brandenburg,Germany,2020-03-16T20:52:46,94,0,,52.3501,12.9162
Bremen,Germany,2020-03-16T20:52:46,56,0,,53.0842,8.8036
Hamburg,Germany,2020-03-16T20:52:46,260,0,,53.5493,9.9937
Hessen,Germany,2020-03-16T20:52:46,342,0,,50.1284,8.702
Mecklenburg-Vorpommern,Germany,2020-03-16T20:52:46,51,0,,54.1202,12.1137
Niedersachsen,Germany,2020-03-16T20:52:46,391,0,,52.4455,9.7955
Nordrhein-Westfalen,Germany,2020-03-16T20:52:46,1541,5,,51.3239,6.7953
Rheinland-Pfalz,Germany,2020-03-16T20:52:46,325,0,,49.9421,7.1618
Saarland,Germany,2020-03-16T20:52:46,85,0,,49.2382,7.0046
Sachsen,Germany,2020-03-16T20:52:46,140,0,,51.1278,13.6537
Sachsen-Anhalt,Germany,2020-03-16T20:52:46,77,0,,52.1432,11.6375
Schleswig-Holstein,Germany,2020-03-16T20:52:46,123,0,,54.3615,10.1157
Thüringen,Germany,2020-03-16T20:52:46,55,0,,51.0285,11.0345
