Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Aachen & Städteregion Aachen,Germany/NRW,2020-03-27T11:00:00,649,10,,50.776418511,6.083679199
Bielefeld,Germany/NRW,2020-03-27T11:00:00,132,,,52.028204774,8.535003662
Bochum,Germany/NRW,2020-03-27T11:00:00,186,4,,51.478389448,7.217330933
Bonn,Germany/NRW,2020-03-27T11:00:00,222,1,,50.736455137,7.101974487
Borken (Kreis),Germany/NRW,2020-03-27T11:00:00,368,3,,51.84432,6.85824
Bottrop,Germany/NRW,2020-03-27T11:00:00,23,1,,51.5216,6.9289
Coesfeld (Kreis),Germany/NRW,2020-03-27T11:00:00,232,,,51.9489, 7.17
Dortmund,Germany/NRW,2020-03-27T11:00:00,232,,,51.5122,7.4652
Duisburg,Germany/NRW,2020-03-27T11:00:00,245,1,,51.4386,6.7566
Düren (Kreis),Germany/NRW,2020-03-27T11:00:00,192,1,,50.8025,6.4823
Düsseldorf,Germany/NRW,2020-03-27T11:00:00,317,2,,51.2224, 6.7703
Ennepe-Ruhr-Kreis,Germany/NRW,2020-03-27T11:00:00,99,1,,51.351,7.306
Essen,Germany/NRW,2020-03-27T11:00:00,292,5,,51.4587,7.0196
Euskirchen (Kreis),Germany/NRW,2020-03-27T11:00:00,76,,,50.6603,6.7861
Gelsenkirchen,Germany/NRW,2020-03-27T11:00:00,62,,,51.51,7.0958
Gütersloh (Kreis),Germany/NRW,2020-03-27T11:00:00,315,1,,51.9045,8.3771
Hagen,Germany/NRW,2020-03-27T11:00:00,55,2,,51.3546,7.4652
Hamm,Germany/NRW,2020-03-27T11:00:00,117,1,,51.6768,7.814
Heinsberg (Kreis),Germany/NRW,2020-03-27T11:00:00,1150,29,,51.0479,6.0947
Herford (Kreis),Germany/NRW,2020-03-27T11:00:00,123,,,52.1158,8.671
Herne,Germany/NRW,2020-03-27T11:00:00,42,,,51.5386,7.2221
Hochsauerlandkreis (Kreis),Germany/NRW,2020-03-27T11:00:00,183,,,51.3495,8.2823
Höxter,Germany/NRW,2020-03-27T11:00:00,47,,,51.7921,9.3459
Kleve (Kreis),Germany/NRW,2020-03-27T11:00:00,192,1,,51.7846,6.1312
Köln,Germany/NRW,2020-03-27T11:00:00,1017,4,,50.9411,6.9543
Krefeld,Germany/NRW,2020-03-27T11:00:00,147,,,51.3349,6.5643
Leverkusen,Germany/NRW,2020-03-27T11:00:00,82,,,51.0353,6.9804
Lippe (Kreis),Germany/NRW,2020-03-27T11:00:00,230,1,,51.9358,8.8783
Märkischer Kreis,Germany/NRW,2020-03-27T11:00:00,81,,,51.2189,7.6424
Mettmann (Kreis),Germany/NRW,2020-03-27T11:00:00,249,3,,51.254,6.9756
Minden-Lübbecke (Kreis),Germany/NRW,2020-03-27T11:00:00,223,,,52.2934,8.9058
Mönchengladbach,Germany/NRW,2020-03-27T11:00:00,146,,,51.1948,6.4243
Mülheim / Ruhr,Germany/NRW,2020-03-27T11:00:00,53,,,51.43,6.8781
Münster,Germany/NRW,2020-03-27T11:00:00,371,1,,51.962,7.6204
Oberbergischer Kreis,Germany/NRW,2020-03-27T11:00:00,152,,,51.0224,7.5572
Oberhausen,Germany/NRW,2020-03-27T11:00:00,54,,,51.4686,6.8527
Olpe (Kreis),Germany/NRW,2020-03-27T11:00:00,66,,,51.0364,7.8841
Paderborn (Kreis),Germany/NRW,2020-03-27T11:00:00,139,,,51.7177,8.753
Recklinghausen (Kreis),Germany/NRW,2020-03-27T11:00:00,264,,,51.6054,7.2087
Remscheid,Germany/NRW,2020-03-27T11:00:00,41,,,51.1828,7.1988
Rhein-Erft-Kreis,Germany/NRW,2020-03-27T11:00:00,276,1,,50.906,6.746
Rheinisch-Bergischer Kreis,Germany/NRW,2020-03-27T11:00:00,162,1,,50.9982,7.1288
Rhein-Kreis Neuss,Germany/NRW,2020-03-27T11:00:00,245,3,,51.135,6.63
Rhein-Sieg-Kreis,Germany/NRW,2020-03-27T11:00:00,417,2,,50.7938,7.2077
Siegen-Wittgenstein (Kreis),Germany/NRW,2020-03-27T11:00:00,77,,,50.8796,8.0365
Soest (Kreis),Germany/NRW,2020-03-27T11:00:00,145,,,51.567,8.113
Solingen,Germany/NRW,2020-03-27T11:00:00,71,,,51.1725,7.0779
Steinfurt (Kreis),Germany/NRW,2020-03-27T11:00:00,298,,,52.211,7.592
Unna (Kreis),Germany/NRW,2020-03-27T11:00:00,146,,,51.5369,7.6904
Viersen (Kreis),Germany/NRW,2020-03-27T11:00:00,220,1,,51.2585,6.3858
Warendorf (Kreis),Germany/NRW,2020-03-27T11:00:00,254,1,,51.965,7.998
Wesel (Kreis),Germany/NRW,2020-03-27T11:00:00,184,2,,51.6555,6.6165
Wuppertal,Germany/NRW,2020-03-27T11:00:00,162,2,,51.2628,7.1727
